样本编号,年级,专业类别,月可支配生活费,半年短途出行次数,目的地类型,同行人,单次出行预算,预算占比最大项,提前规划时间,信息获取渠道,遇到的困扰(多选),最严重的困扰,是否用过行程规划工具,对工具不满意的地方,最希望的功能(多选),最愿意付费的功能,倾向的使用形式,偏好的内容风格,其他未满足需求,是否愿意参与访谈(留微信),答题时长(秒),提交时间
S021,大二,艺术类,2001-2500元,5-6次,美食探店,室友/同学(2-3人),201-400元,交通,提前3-7天,小红书,交通接驳信息不清晰、没有现成行程模板、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,小众目的地信息太少,经常使用,推荐太商业化,小众目的地种草、交通接驳指南、当地美食红黑榜,都不愿意付费,网页版,真实接地气(学长学姐经验),青旅的真实评价太少了,,232,2026-09-10 13:28:07
S022,大三,理工类,1501-2000元,1-2次,主题乐园、城市人文,室友/同学(2-3人),401-600元,交通,说走就走,微博、大众点评、知乎,没有现成行程模板、小众目的地信息太少、攻略质量参差不齐，广告多,缺少学生视角的预算参考,偶尔使用,不能按预算调整、不能协同编辑、其他,现成学生党行程模板、当地美食红黑榜、行程共享与协同编辑,都不愿意付费,微信小程序,专业严谨数据详实,,,160,2026-09-05 14:07:49
S023,大二,文史哲类,3000元以上,5-6次,主题乐园、城市人文,朋友小团体(4人以上),601-800元,住宿,说走就走,大众点评、B站,美食探店容易踩雷、没有现成行程模板、攻略信息太分散，多APP切换、交通接驳信息不清晰、住宿选择困难,交通接驳信息不清晰,偶尔使用,不能按预算调整,现成学生党行程模板、行程共享与协同编辑,无广告纯净体验,都可以,图文精美,希望能看到实时的景区人流量,,263,2026-09-05 17:45:17
S024,大二,文史哲类,1501-2000元,3-4次,自然风景,家人,601-800元,门票/体验项目,提前1-2周,朋友推荐、微博,美食探店容易踩雷、没有现成行程模板、住宿选择困难、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,听说过但没用过,,行程共享与协同编辑、小众目的地种草、现成学生党行程模板、住宿区域推荐,都不愿意付费,都可以,有趣好玩有梗,,,139,2026-09-07 09:20:47
S025,大三,旅游/酒店管理类,1501-2000元,7次及以上,其他、主题乐园、城市人文,朋友小团体(4人以上),601-800元,门票/体验项目,提前1-2周,小红书、B站,小众目的地信息太少、缺少学生视角的预算参考,没有现成行程模板,经常使用,不能协同编辑、行程模板太少,当地美食红黑榜、行程共享与协同编辑、小众目的地种草,AI高级行程定制,小红书/抖音账号+社群,图文精美,,,140,2026-09-05 12:47:05
S026,大三,经管类,2001-2500元,5-6次,城市人文、自然风景,独自一人,401-600元,交通,提前1-2天,小红书、大众点评,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、美食探店容易踩雷,没有现成行程模板,偶尔使用,操作太复杂、不能按预算调整、行程模板太少,当地美食红黑榜、实时避坑提醒、小众目的地种草、现成学生党行程模板,都不愿意付费,微信小程序,专业严谨数据详实,景区学生票需要带什么证件能不能说明,,188,2026-09-05 16:54:19
S027,大二,理工类,1501-2000元,1-2次,自然风景、美食探店,独自一人,801-1000元,住宿,说走就走,朋友推荐、其他、B站,住宿选择困难、美食探店容易踩雷、小众目的地信息太少、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,偶尔使用,交通时间不准、不能协同编辑,当地美食红黑榜、实时避坑提醒,AI高级行程定制,微信小程序,简洁高效(直接给结论),高铁票抢票攻略也想要,愿意-wx_k0get8t6,292,2026-09-03 13:58:52
S028,研二及以上,其他,1000-1500元,5-6次,主题乐园,独自一人,401-600元,交通,提前1-2周,其他、知乎、朋友推荐,攻略信息太分散，多APP切换、缺少学生视角的预算参考、攻略质量参差不齐，广告多,缺少学生视角的预算参考,听说过但没用过,,交通接驳指南、出行搭子匹配、实时避坑提醒、按预算推荐目的地和行程,独家小众目的地攻略,微信小程序,有趣好玩有梗,希望能有旅行vlog的模板,,136,2026-09-02 19:52:29
S029,研一,理工类,1501-2000元,1-2次,自然风景,朋友小团体(4人以上),201-400元,门票/体验项目,提前1-2天,抖音、知乎,交通接驳信息不清晰、小众目的地信息太少、美食探店容易踩雷、住宿选择困难,没有现成行程模板,完全没听说过,,按预算推荐目的地和行程、小众目的地种草、实时避坑提醒,都不愿意付费,微信小程序,图文精美,小众景点的交通真的很头疼,愿意-wx_j883dhx8,92,2026-09-06 12:08:50
S030,大三,经管类,2001-2500元,1-2次,周边乡村/古镇,室友/同学(2-3人),801-1000元,门票/体验项目,提前3-7天,微博、小红书,没有现成行程模板、住宿选择困难、攻略信息太分散，多APP切换,住宿选择困难,偶尔使用,不能协同编辑、行程模板太少,按预算推荐目的地和行程、现成学生党行程模板、小众目的地种草,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),希望能看到目的地的天气和穿搭建议,,107,2026-09-08 17:14:39
S031,大一,教育类,2501-3000元,3-4次,美食探店、城市人文,家人,1000元以上,住宿,说走就走,B站、小红书,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、交通接驳信息不清晰,没有现成行程模板,偶尔使用,不能按预算调整、交通时间不准,出行搭子匹配、按预算推荐目的地和行程,都不愿意付费,网页版,简洁高效(直接给结论),当地特色节日活动的信息想要,,307,2026-09-04 15:21:52
S032,大三,理工类,1000-1500元,3-4次,自然风景、高校校园参观、美食探店,朋友小团体(4人以上),200元以下,交通,提前3-7天,朋友推荐、大众点评,交通接驳信息不清晰、缺少学生视角的预算参考、美食探店容易踩雷,缺少学生视角的预算参考,完全没听说过,,旅行记账与AA分摊、交通接驳指南,AI高级行程定制,独立APP,真实接地气(学长学姐经验),,,107,2026-09-06 22:35:23
S033,大一,理工类,1000-1500元,3-4次,其他、周边乡村/古镇、美食探店,朋友小团体(4人以上),200元以下,购物/伴手礼,提前1-2周,小红书,美食探店容易踩雷、缺少学生视角的预算参考、攻略质量参差不齐，广告多,没有现成行程模板,经常使用,交通时间不准、操作太复杂、不能协同编辑,现成学生党行程模板、小众目的地种草、按预算推荐目的地和行程,AI高级行程定制,微信小程序,专业严谨数据详实,希望能有大学生优惠门票的汇总信息,,119,2026-09-03 21:39:03
S034,大三,理工类,2001-2500元,3-4次,自然风景、城市人文,朋友小团体(4人以上),401-600元,交通,提前3-7天,抖音、OTA平台(携程/马蜂窝)、小红书,一人出行难拼车/找搭子、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、小众目的地信息太少,交通接驳信息不清晰,偶尔使用,操作太复杂,按预算推荐目的地和行程、小众目的地种草、住宿区域推荐、交通接驳指南、行程共享与协同编辑,都不愿意付费,微信小程序,有趣好玩有梗,,,197,2026-09-02 22:20:36
S035,大二,理工类,2001-2500元,1-2次,城市人文、自然风景,男/女朋友,601-800元,门票/体验项目,提前2周以上,抖音,攻略质量参差不齐，广告多、交通接驳信息不清晰,缺少学生视角的预算参考,听说过但没用过,,住宿区域推荐、现成学生党行程模板、出行搭子匹配、按预算推荐目的地和行程,都不愿意付费,独立APP,真实接地气(学长学姐经验),小众景点的交通真的很头疼,,289,2026-09-03 12:06:09
S036,大二,经管类,1000-1500元,5-6次,城市人文,男/女朋友,201-400元,门票/体验项目,提前1-2周,OTA平台(携程/马蜂窝)、B站,住宿选择困难、交通接驳信息不清晰、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,缺少学生视角的预算参考,偶尔使用,不能按预算调整、行程模板太少,现成学生党行程模板、小众目的地种草,无广告纯净体验,网页版,真实接地气(学长学姐经验),希望能有大学生优惠门票的汇总信息,,209,2026-09-07 16:37:35
S037,研二及以上,医学类,1000元以下,7次及以上,美食探店、自然风景、主题乐园,室友/同学(2-3人),200元以下,交通,提前2周以上,其他、小红书,攻略信息太分散，多APP切换、小众目的地信息太少、其他,缺少学生视角的预算参考,听说过但没用过,,现成学生党行程模板、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,图文精美,,,222,2026-09-07 13:16:46
S038,大四,其他,2001-2500元,1-2次,美食探店,室友/同学(2-3人),401-600元,购物/伴手礼,提前1-2周,小红书、OTA平台(携程/马蜂窝),缺少学生视角的预算参考,小众目的地信息太少,完全没听说过,,当地美食红黑榜、小众目的地种草,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),当地特色节日活动的信息想要,,276,2026-09-08 12:14:08
S039,大一,理工类,2001-2500元,3-4次,网红打卡点、城市人文,室友/同学(2-3人),801-1000元,交通,提前1-2天,小红书,小众目的地信息太少、攻略信息太分散，多APP切换、缺少学生视角的预算参考,交通接驳信息不清晰,完全没听说过,,住宿区域推荐、出行搭子匹配、现成学生党行程模板,其他,小红书/抖音账号+社群,专业严谨数据详实,,,226,2026-09-08 16:49:18
S040,大四,文史哲类,1501-2000元,1-2次,周边乡村/古镇,室友/同学(2-3人),401-600元,餐饮,提前2周以上,知乎、OTA平台(携程/马蜂窝)、大众点评,攻略质量参差不齐，广告多、小众目的地信息太少,攻略质量参差不齐，广告多,完全没听说过,,行程共享与协同编辑、按预算推荐目的地和行程、实时避坑提醒,都不愿意付费,都可以,专业严谨数据详实,音乐节+旅行的组合攻略想要,愿意-wx_si9nb74x,282,2026-09-03 11:02:18
S041,研一,文史哲类,2501-3000元,5-6次,自然风景、城市人文,独自一人,401-600元,门票/体验项目,提前3-7天,大众点评、抖音、朋友推荐,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考,小众目的地信息太少,偶尔使用,推荐太商业化,交通接驳指南、按预算推荐目的地和行程、现成学生党行程模板,AI高级行程定制,小红书/抖音账号+社群,真实接地气(学长学姐经验),音乐节+旅行的组合攻略想要,,251,2026-09-02 17:23:04
S042,研二及以上,文史哲类,2001-2500元,3-4次,自然风景,朋友小团体(4人以上),601-800元,购物/伴手礼,提前1-2天,抖音,缺少学生视角的预算参考、小众目的地信息太少,没有现成行程模板,完全没听说过,,按预算推荐目的地和行程、小众目的地种草、现成学生党行程模板、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,专业严谨数据详实,,,287,2026-09-03 10:45:49
S043,研二及以上,经管类,1000-1500元,5-6次,自然风景,室友/同学(2-3人),201-400元,门票/体验项目,提前3-7天,朋友推荐,缺少学生视角的预算参考、住宿选择困难、攻略信息太分散，多APP切换,没有现成行程模板,偶尔使用,不能按预算调整、行程模板太少,实时避坑提醒、现成学生党行程模板、旅行记账与AA分摊、小众目的地种草,都不愿意付费,独立APP,有趣好玩有梗,,愿意-wx_v3tlcxlv,189,2026-09-03 20:28:22
S044,大三,医学类,2501-3000元,3-4次,自然风景、其他,家人,201-400元,餐饮,提前1-2天,OTA平台(携程/马蜂窝)、知乎、小红书,攻略信息太分散，多APP切换、小众目的地信息太少、缺少学生视角的预算参考,没有现成行程模板,听说过但没用过,,实时避坑提醒、小众目的地种草、住宿区域推荐、交通接驳指南,AI高级行程定制,小红书/抖音账号+社群,真实接地气(学长学姐经验),一个人旅行的安全问题能不能有提示,愿意-wx_gs6e1zhw,257,2026-09-08 12:07:08
S045,大四,文史哲类,2501-3000元,3-4次,周边乡村/古镇,家人,1000元以上,餐饮,提前1-2周,大众点评、B站、微博,小众目的地信息太少、没有现成行程模板、攻略信息太分散，多APP切换,攻略质量参差不齐，广告多,偶尔使用,操作太复杂、不能按预算调整,小众目的地种草、旅行记账与AA分摊、按预算推荐目的地和行程、实时避坑提醒,无广告纯净体验,微信小程序,图文精美,,,276,2026-09-07 22:36:04
S046,大一,理工类,1000元以下,3-4次,自然风景、网红打卡点、周边乡村/古镇,朋友小团体(4人以上),201-400元,购物/伴手礼,提前3-7天,微博,缺少学生视角的预算参考、攻略质量参差不齐，广告多、美食探店容易踩雷,攻略质量参差不齐，广告多,完全没听说过,,行程共享与协同编辑、现成学生党行程模板、交通接驳指南,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),拍照机位能不能标注出来,,231,2026-09-10 11:10:42
S047,大三,旅游/酒店管理类,1501-2000元,7次及以上,网红打卡点,独自一人,200元以下,餐饮,提前3-7天,小红书、大众点评,没有现成行程模板、交通接驳信息不清晰,攻略质量参差不齐，广告多,完全没听说过,,现成学生党行程模板、出行搭子匹配、小众目的地种草、当地美食红黑榜,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),,,160,2026-09-06 20:55:22
S048,研二及以上,经管类,1501-2000元,3-4次,城市人文,室友/同学(2-3人),201-400元,交通,提前2周以上,抖音、知乎、B站,美食探店容易踩雷、小众目的地信息太少、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,其他,听说过但没用过,,交通接驳指南、按预算推荐目的地和行程、小众目的地种草,独家小众目的地攻略,独立APP,真实接地气(学长学姐经验),,,305,2026-09-08 13:34:00
S049,大四,文史哲类,2501-3000元,5-6次,自然风景,朋友小团体(4人以上),401-600元,餐饮,说走就走,抖音、大众点评、微博,攻略信息太分散，多APP切换,缺少学生视角的预算参考,完全没听说过,,住宿区域推荐、现成学生党行程模板、交通接驳指南,无广告纯净体验,微信小程序,真实接地气(学长学姐经验),,,118,2026-09-10 17:08:20
S050,研一,理工类,1501-2000元,3-4次,美食探店、主题乐园,朋友小团体(4人以上),401-600元,餐饮,提前3-7天,抖音,一人出行难拼车/找搭子、交通接驳信息不清晰,小众目的地信息太少,完全没听说过,,交通接驳指南、现成学生党行程模板,都不愿意付费,都可以,简洁高效(直接给结论),希望能和同校的人组队出行,,229,2026-09-08 11:33:40
S051,大四,教育类,1501-2000元,5-6次,城市人文,家人,201-400元,交通,提前3-7天,抖音,缺少学生视角的预算参考、小众目的地信息太少、美食探店容易踩雷,住宿选择困难,听说过但没用过,,住宿区域推荐、交通接驳指南,都不愿意付费,都可以,简洁高效(直接给结论),,,124,2026-09-08 17:21:34
S052,大二,教育类,2001-2500元,3-4次,自然风景、主题乐园、高校校园参观,室友/同学(2-3人),401-600元,购物/伴手礼,提前2周以上,OTA平台(携程/马蜂窝),缺少学生视角的预算参考、美食探店容易踩雷、住宿选择困难、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,听说过但没用过,,实时避坑提醒、小众目的地种草、现成学生党行程模板、出行搭子匹配、按预算推荐目的地和行程,无广告纯净体验,都可以,真实接地气(学长学姐经验),希望能有省钱技巧的汇总,,271,2026-09-08 12:12:52
S053,大三,旅游/酒店管理类,2001-2500元,1-2次,周边乡村/古镇、自然风景、城市人文,家人,401-600元,交通,说走就走,OTA平台(携程/马蜂窝)、小红书,攻略信息太分散，多APP切换、没有现成行程模板、美食探店容易踩雷,缺少学生视角的预算参考,完全没听说过,,小众目的地种草、现成学生党行程模板、旅行记账与AA分摊、当地美食红黑榜,都不愿意付费,微信小程序,简洁高效(直接给结论),,,124,2026-09-07 22:11:59
S054,研一,其他,1501-2000元,3-4次,高校校园参观、网红打卡点,独自一人,601-800元,交通,提前2周以上,抖音、OTA平台(携程/马蜂窝),美食探店容易踩雷、攻略信息太分散，多APP切换、没有现成行程模板、攻略质量参差不齐，广告多、住宿选择困难,攻略质量参差不齐，广告多,完全没听说过,,住宿区域推荐、按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,微信小程序,简洁高效(直接给结论),能不能有毕业旅行的专题,,211,2026-09-06 10:25:42
S055,大一,其他,1501-2000元,7次及以上,自然风景,室友/同学(2-3人),801-1000元,购物/伴手礼,提前1-2天,大众点评、小红书、抖音,攻略信息太分散，多APP切换、缺少学生视角的预算参考,缺少学生视角的预算参考,偶尔使用,不能协同编辑、交通时间不准,小众目的地种草、现成学生党行程模板、旅行记账与AA分摊,都不愿意付费,都可以,简洁高效(直接给结论),,,285,2026-09-04 21:15:43
S056,大四,旅游/酒店管理类,1000-1500元,3-4次,自然风景、网红打卡点、城市人文,男/女朋友,601-800元,交通,提前3-7天,抖音,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、没有现成行程模板,小众目的地信息太少,听说过但没用过,,小众目的地种草、按预算推荐目的地和行程、出行搭子匹配、当地美食红黑榜,都不愿意付费,网页版,图文精美,,愿意-wx_mc97c7bo,276,2026-09-03 21:41:46
S057,大三,文史哲类,3000元以上,3-4次,自然风景、美食探店,男/女朋友,601-800元,餐饮,提前1-2天,其他,没有现成行程模板、小众目的地信息太少、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,攻略质量参差不齐，广告多,听说过但没用过,,交通接驳指南、出行搭子匹配、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),音乐节+旅行的组合攻略想要,,319,2026-09-01 12:13:04
S058,大一,经管类,1501-2000元,3-4次,城市人文,独自一人,401-600元,住宿,提前1-2周,小红书,攻略质量参差不齐，广告多、美食探店容易踩雷、没有现成行程模板,交通接驳信息不清晰,完全没听说过,,现成学生党行程模板、按预算推荐目的地和行程、当地美食红黑榜,独家小众目的地攻略,微信小程序,真实接地气(学长学姐经验),能不能有旅行照片的模板推荐,,189,2026-09-09 16:03:22
S059,研二及以上,医学类,2001-2500元,1-2次,自然风景,室友/同学(2-3人),601-800元,交通,提前1-2天,小红书、抖音,一人出行难拼车/找搭子、没有现成行程模板、攻略信息太分散，多APP切换、攻略质量参差不齐，广告多,没有现成行程模板,完全没听说过,,按预算推荐目的地和行程、住宿区域推荐、现成学生党行程模板,都不愿意付费,小红书/抖音账号+社群,有趣好玩有梗,,,230,2026-09-09 12:30:13
S060,研一,理工类,3000元以上,0次,,,,,,,一人出行难拼车/找搭子、攻略信息太分散，多APP切换、其他,缺少学生视角的预算参考,听说过但没用过,,小众目的地种草、现成学生党行程模板,独家小众目的地攻略,独立APP,图文精美,景区学生票需要带什么证件能不能说明,,211,2026-09-08 16:06:51
S061,研二及以上,文史哲类,2501-3000元,7次及以上,自然风景、城市人文,男/女朋友,801-1000元,交通,提前3-7天,大众点评、抖音、小红书,攻略质量参差不齐，广告多、没有现成行程模板,美食探店容易踩雷,偶尔使用,其他、交通时间不准,小众目的地种草、住宿区域推荐、按预算推荐目的地和行程、交通接驳指南,独家小众目的地攻略,都可以,专业严谨数据详实,,,294,2026-09-02 22:42:03
S062,大四,理工类,2501-3000元,1-2次,城市人文、主题乐园,独自一人,801-1000元,购物/伴手礼,提前2周以上,抖音、小红书、大众点评,攻略信息太分散，多APP切换、小众目的地信息太少,没有现成行程模板,偶尔使用,不能协同编辑、交通时间不准,按预算推荐目的地和行程,独家小众目的地攻略,独立APP,有趣好玩有梗,希望有雨天备选方案,,100,2026-09-06 15:29:36
S063,大二,医学类,1000-1500元,5-6次,美食探店,男/女朋友,401-600元,交通,提前1-2天,抖音、OTA平台(携程/马蜂窝),没有现成行程模板、缺少学生视角的预算参考,交通接驳信息不清晰,偶尔使用,推荐太商业化,现成学生党行程模板、实时避坑提醒,都不愿意付费,独立APP,真实接地气(学长学姐经验),,,151,2026-09-09 18:42:02
S064,大一,旅游/酒店管理类,1000元以下,3-4次,周边乡村/古镇,朋友小团体(4人以上),201-400元,交通,提前1-2天,大众点评,交通接驳信息不清晰、没有现成行程模板、缺少学生视角的预算参考、小众目的地信息太少,没有现成行程模板,经常使用,其他、操作太复杂、不能按预算调整,现成学生党行程模板、住宿区域推荐,其他,微信小程序,图文精美,,,280,2026-09-08 16:14:22
